Day,SPY_Price,SPY_Return,VIX_Level,VIX_Return,Is_Spike,Baseline_Invested_Today,Baseline_Shares,Baseline_Equity,Strategy_Invested_Today,Strategy_Shares,Strategy_Equity,Excess_Return_Dollars
01.01.2021,100.0,0.0,15.0,0.0,0,500.0,0.0,500.0,0.0,0.0,500.0,0.0
04.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,500.0,0.0,0.0,500.06,0.06
05.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,500.0,0.0,0.0,500.12,0.12
06.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,500.0,0.0,0.0,500.18,0.18
07.01.2021,100.0,0.0,15.0,0.0,0,0.0,0.0,500.0,0.0,0.0,500.23,0.23
08.01.2021,98.32,-0.0168,17.56,17.0962,1,0.0,0.0,491.58,866.89,0.0,500.29,8.72
11.01.2021,97.56,-0.0077,19.52,11.1079,0,0.0,0.0,487.81,0.0,0.0,493.65,5.84
12.01.2021,98.2,0.0066,17.88,-8.3809,0,0.0,0.0,491.0,0.0,0.0,499.29,8.28
13.01.2021,98.82,0.0063,17.47,-2.3045,0,0.0,0.0,494.11,0.0,0.0,504.76,10.65
14.01.2021,98.05,-0.0078,19.31,10.559,0,0.0,0.0,490.25,0.0,0.0,497.96,7.71
15.01.2021,98.88,0.0084,16.34,-15.3675,0,0.0,0.0,494.39,0.0,0.0,505.26,10.87
18.01.2021,99.52,0.0065,14.18,-13.2531,0,0.0,0.0,497.59,0.0,0.0,510.9,13.31
19.01.2021,98.44,-0.0108,15.29,7.8524,0,0.0,0.0,492.2,0.0,0.0,501.39,9.19
20.01.2021,98.63,0.0019,14.21,-7.047,0,0.0,0.0,493.13,0.0,0.0,503.04,9.91
21.01.2021,99.22,0.0061,11.48,-19.2576,0,0.0,0.0,496.12,0.0,0.0,508.3,12.19
22.01.2021,100.54,0.0133,9.64,-15.9982,0,0.0,0.0,502.69,0.0,0.0,519.9,17.21
25.01.2021,101.31,0.0077,9.71,0.6712,1,0.0,0.0,506.54,0.0,0.0,526.68,20.14
26.01.2021,99.75,-0.0153,14.73,51.8069,1,0.0,0.0,498.77,0.0,0.0,512.98,14.21
27.01.2021,98.96,-0.008,15.39,4.4757,0,0.0,0.0,494.78,0.0,0.0,505.95,11.17
28.01.2021,98.93,-0.0002,15.52,0.8046,0,0.0,0.0,494.66,0.0,0.0,505.74,11.08
29.01.2021,97.24,-0.0171,16.15,4.0614,0,0.0,0.0,486.21,0.0,0.0,490.84,4.62
01.02.2021,98.6,0.0139,13.64,-15.5061,0,500.0,0.0,992.99,0.0,0.0,1002.78,9.8
02.02.2021,98.75,0.0016,14.03,2.8359,0,0.0,0.0,994.57,0.0,0.0,1004.18,9.61
03.02.2021,99.48,0.0073,14.31,2.0098,0,0.0,0.0,1001.84,0.0,0.0,1010.56,8.72
04.02.2021,97.89,-0.016,17.43,21.7769,1,0.0,0.0,985.85,2150.69,0.0,996.58,10.73
05.02.2021,97.26,-0.0064,19.06,9.3833,0,0.0,0.0,979.5,0.0,0.0,977.16,-2.34
08.02.2021,96.58,-0.0069,21.17,11.0512,1,0.0,0.0,972.7,0.0,0.0,956.37,-16.33
09.02.2021,96.3,-0.0029,22.73,7.3828,1,0.0,0.0,969.85,0.0,0.0,947.68,-22.17
10.02.2021,87.99,-0.0863,39.69,74.5736,1,0.0,0.0,886.2,0.0,0.0,691.94,-194.26
